PlayerID,Player,Pos,Age,Team,G,MP,MinM,PER,TS_perc,X3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,X2022_23,C,SG,SF,PG,PF
lavinza01,Zach LaVine,SG,27,CHI,55,1982,440,17.6,0.591,0.414,0.311,1.7,13.4,7.6,17.6,1.3,0.5,11.5,27.8,2.1,2,4.1,0.098,1.7,-0.8,0.9,1.5,37096500,0,1,0,0,0
looneke01,Kevon Looney,C,26,GSW,58,1354,464,17.6,0.663,0,0.411,14.6,26.9,20.8,14.2,1.1,2.2,8.6,10.1,4.3,1.7,6,0.212,0.9,1.2,2.1,1.4,8000000,1,0,0,0,0
paulch01,Chris Paul,PG,37,PHO,39,1247,312,17.6,0.546,0.376,0.283,1.3,13.7,7.4,39.7,2.4,1.3,14.2,19.5,2.3,1.7,3.9,0.152,1.8,1.4,3.1,1.6,28400000,0,0,0,1,0
baglema01,Marvin Bagley III,C,23,DET,25,532,200,17.5,0.592,0.164,0.259,10.5,20.7,15.5,4.3,1.2,3,8.9,19.6,0.8,0.4,1.1,0.103,0.1,-1,-0.9,0.1,12500000,1,0,0,0,0
bassech01,Charles Bassey,C,22,SAS,26,354,208,17.5,0.64,0.072,0.337,16.5,29.1,22.5,12.1,1.2,5.6,23.9,14.7,0.4,0.4,0.8,0.107,-1.3,0.9,-0.4,0.1,2574742,1,0,0,0,0
bassech01,Charles Bassey,C,22,SAS,26,354,208,17.5,0.64,0.072,0.337,16.5,29.1,22.5,12.1,1.2,5.6,23.9,14.7,0.4,0.4,0.8,0.107,-1.3,0.9,-0.4,0.1,2574742,1,0,0,0,0
ingrabr01,Brandon Ingram,SF,25,NOP,24,772,192,17.5,0.571,0.22,0.312,1.6,15.8,8.7,24.4,1.1,1.5,14.4,30.3,0.4,0.8,1.2,0.077,1.1,-0.6,0.5,0.5,31650600,0,0,1,0,0
jacksis01,Isaiah Jackson,C,21,IND,45,689,360,17.5,0.607,0.058,0.51,10.1,17.9,14,8.5,1.3,8.4,13.4,17.7,0.9,0.9,1.8,0.126,-1.7,1.8,0.1,0.4,2573760,1,0,0,0,0
reid01,Naz Reid,C,23,MIN,53,939,424,17.5,0.606,0.38,0.203,7.4,22.3,15,8.8,1.5,4.3,13.3,23.3,0.7,1.4,2.1,0.105,-0.6,0.5,-0.1,0.5,1930681,1,0,0,0,0
murrade01,Dejounte Murray,SG,26,ATL,54,1972,432,17.4,0.544,0.312,0.138,2.1,14.4,8.2,24.4,2,0.8,10.5,24.7,1.6,2,3.6,0.088,1.4,0.2,1.6,1.8,16571120,0,1,0,0,0
harremo01,Montrezl Harrell,C,29,PHI,50,624,400,17.3,0.636,0.011,0.459,11.4,14.5,13,7.5,1.3,3.7,12.2,18.1,1.2,0.8,2,0.157,-1.2,-0.1,-1.3,0.1,2463490,1,0,0,0,0
